ID,Title,Publication Date,Language,Published In,Is Open Access,Open Access Status,URL,Type,Authors
W1150618302,Approximating expressive queries on graph-modeled data: The GeX approach,2015-07-29,en,Journal of Systems and Software,true,green,https://iris.unimore.it/bitstream/11380/1072297/2/MartogliaApproximatingpaper1stRev.pdf,journal,"Federica Mandreoli,Riccardo Martoglia,Wilma Penzo"
W115125407,Good approximations for the relative neighbourhood graph.,2001-01-01,en,Canadian Conference on Computational Geometry,false,closed,https://dblp.uni-trier.de/db/conf/cccg/cccg2001.html#AndradeF01,conference,"Luiz Henrique de Figueiredo,Diogo V. Andrade"
W1151902359,Algorithm for listing the regions of a planar graph,1998-01-01,en,Image Processing & Communications,false,closed,http://yadda.icm.edu.pl/yadda/element/bwmeta1.element.baztech-article-BAT2-0001-0030,journal,"E. Stemposz,Aleksander Rutkowski"
W1168827964,A parallel Fruchterman–Reingold algorithm optimized for fast visualization of large graphs and swarms of data,2015-08-14,en,Swarm and Evolutionary Computation,false,closed,https://doi.org/10.1016/j.swevo.2015.07.006,journal,"Pavel Dohnálek,Petr Gajdoš,Tomáš Ježowicz,Vojtěch Uher"
W1168907573,Parallel implementations of probabilistic latent semantic analysis on graphic processing units,2011-01-14,en,,false,closed,https://hgpu.org/?p=5713,article,Hang Chen
W1170278056,Orthogonal drawings for plane graphs with specified face areas (アルゴリズム),2007-07-03,en,情報処理学会研究報告アルゴリズム（AL）,false,closed,http://ci.nii.ac.jp/naid/110006380989,journal,"Akifumi Kawaguchi,Hiroshi Nagamochi"
W1170286866,Colour degree matrices of graphs with at most one cycle,2015-08-17,en,Discrete Applied Mathematics,true,bronze,https://doi.org/10.1016/j.dam.2015.07.025,journal,"Anne Hillebrand,Colin McDiarmid"
W117982534,"Inducing regularization of graphs, multigraphs and pseudographs.",2002-01-01,en,Ars Combinatoria,false,closed,https://dblp.uni-trier.de/db/journals/arscom/arscom65.html#GorskaS02,journal,"Joanna Górska,Zdzisław Skupień"
W118410400,Bibliography on quadtrees and related hierarchical data structures,1986-01-01,en,Springer eBooks,false,closed,https://doi.org/10.1007/978-3-642-71071-1_11,ebook platform,Hanan Samet
W1197347346,Frequent Subgraph Mining Algorithms – A Survey,2015-01-01,en,Procedia Computer Science,true,gold,https://doi.org/10.1016/j.procs.2015.03.198,journal,"T. Ramraj,R. Prabhakar"
W1208419045,Exact Algorithms for Optimization and parameterized versions of some graph theoretic problems[HBNI Th 6],2008-01-01,en,,false,closed,https://www.imsc.res.in/xmlui/handle/123456789/119,dissertation,Saket Saurabh
W121063883,Decomposing 3-connected graphs,1993-01-01,en,Contemporary mathematics - American Mathematical Society,false,closed,https://doi.org/10.1090/conm/147/01204,journal,"Collette R. Coullard,Donald K. Wagner"
W1217907795,"A Parallel, Backjumping Subgraph Isomorphism Algorithm Using Supplemental Graphs",2015-01-01,en,Lecture notes in computer science,false,closed,https://eprints.gla.ac.uk/107619/7/107619.pdf,book series,"Ciaran McCreesh,Patrick Prosser"
W122712505,Learning predictive models from graph data using pattern mining,2014-01-01,en,,false,closed,http://su.diva-portal.org/smash/get/diva2:695664/FULLTEXT03,article,Thashmee Karunaratne
W123165354,Relational matching with active graphs,1995-01-01,en,Lecture notes in computer science,false,closed,https://doi.org/10.1007/3-540-60268-2_314,book series,"Edwin R. Hancock,Richard C. Wilson"
W1235190548,Optimal graph clustering problems with applications to information system design,1984-01-01,en,,false,closed,https://deepblue.lib.umich.edu/handle/2027.42/4158,article,Wan-Ping Chiang
W123905312,Four problems on plane graphs raised by Branko Grünbaum,1993-01-01,en,Contemporary mathematics - American Mathematical Society,true,bronze,http://www.ams.org/conm/147/conm147.pdf,journal,O. V. Borodin
W124644543,Resolution graph が一点であるような weighted homogeneous singularity の分類(実特異点の研究),1991-08-01,en,数理解析研究所講究録,false,closed,http://ci.nii.ac.jp/naid/110006202782,journal,幹大 田中
W125103475,On the detour number and geodetic number of a graph,2004-07-01,en,Ars Combinatoria,false,closed,https://dblp.uni-trier.de/db/journals/arscom/arscom72.html#ChartrandJZ04,journal,"Garry L. Johns,Ping Zhang,Gary Chartrand"
W1252982,The graphic software systems strategy for systems with graphics-based applications,1986-06-01,en,,false,closed,http://dl.acm.org/citation.cfm?id=17423,article,T. B. Clarkson
W125791065,Application of Cauchy's Interlace Theorem to Subgraph Isomorphism Detection for Large Graphs,2006-01-01,en,,false,closed,https://www.ieice.org/iss/de/DEWS/DEWS2006/doc/3B-i9.pdf,article,Hideki Nagaya
W1269348908,Solving Markov decision processes by d-graph algorithms,2012-01-01,en,Control and Cybernetics,false,closed,http://yadda.icm.edu.pl/yadda/element/bwmeta1.element.baztech-article-BATC-0011-0119,journal,Zoltán Kátai
W127264582,Hamiltonicity of Products of Hypergraphs,1992-01-01,en,Annals of discrete mathematics,false,closed,https://doi.org/10.1016/s0167-5060(08)70650-2,book series,Martin Sonntag
W127315787,Linear Time Recognition Algorithms for Three Variants of Vertex Series Parallel Digraphs.,2007-01-01,en,FCS,false,closed,http://dblp.uni-trier.de/db/conf/fcs/fcs2007.html#Quaddoura07,journal,Ruzayn Quaddoura
W128176326,Recognizing sets of labelled acyclic graphs,1992-01-01,en,Studies in computer science and artificial intelligence,false,closed,https://boa.unimib.it/handle/10281/16947,book series,"Giancarlo Mauri,Giovanni Pighizzini,N. Sabadini,Paola Bonizzoni"
W128406668,"Digital line graphs from 1:24,000-scale maps",1984-01-01,en,U.S. Geological Survey circular/U.S. Geological Survey Circular,true,bronze,https://pubs.usgs.gov/circ/1984/0895c/report.pdf,journal,"Atef A. Elassal,William R. Allder"
W128901416,A new approach for similarity queries using neighborhood graphs.,2007-01-01,en,Brazilian Symposium on Databases,false,closed,https://dblp.uni-trier.de/db/conf/sbbd/sbbd2007.html#OcsaBC07,conference,"Alexander Ocsa,Ernesto Cuadros-Vargas,Carlos Bedregal"
W129061175,A unified non-procedural environment for designing and implementing graphical interfaces to relational data base management systems,1980-01-01,en,,false,closed,https://dl.acm.org/citation.cfm?id=909575,book,Michael T. Garrett
W129336209,Local Clique Merging: An Extension of the Maximum Common Subgraph Measure with Applications in Structural Bioinformatics,2013-01-01,en,"Studies in classification, data analysis, and knowledge organization",false,closed,https://doi.org/10.1007/978-3-319-00035-0_28,book series,"Eyke Hüllermeier,G. Klebe,Thomas Fober"
W130248688,Formal languages of labelled graphs,1976-03-01,en,Computing,false,closed,https://doi.org/10.1007/bf02241984,journal,Manfred Nagl
W130518292,"Algorithms for generating all spanning trees of undirected, directed and weighted graphs",2005-11-22,en,Springer eBooks,false,closed,https://doi.org/10.1007/bfb0028284,ebook platform,"H. Ramesh,Sanjiv Kapoor"
W131126820,Caterpillar tolerance representations of graphs,2005-01-01,en,,false,closed,https://digitalcommons.uri.edu/cgi/viewcontent.cgi?article=1841&context=dissertations,article,Glenn E Faubert
W131320787,Polynomial-Time Algorithms for Subgraph Isomorphism in Small Graph Classes of Perfect Graphs,2014-02-24,en,研究報告アルゴリズム（AL）,false,closed,http://ci.nii.ac.jp/naid/110009675761,journal,"Ryuhei Uehara,Matsuo Konagaya,Otachi Yota"
W132161852,An optimal distributed algorithm for finding a set of fundamental cycles in a graph.,2002-01-01,en,Computer Systems: Science & Engineering,false,closed,https://dblp.uni-trier.de/db/journals/csse/csse17.html#Chaudhuri02,journal,Pranay Chaudhuri
W132606892,Counting Crossings for Layered Hypergraphs,2014-01-01,en,Lecture notes in computer science,false,closed,https://doi.org/10.1007/978-3-662-44043-8_2,book series,"Miro Spönemann,Reinhard von Hanxleden,Ulf Rüegg,Christoph Schulze"
W135787287,"Conceptual graph information retrieval using linear resolution, generalization and graph splitting",1992-01-03,en,Ellis Horwood eBooks,false,closed,http://dl.acm.org/citation.cfm?id=168857.168933,ebook platform,Jean Fargues
W136225695,Uncertain Subgraph Query Processing over Uncertain Graphs,2013-01-01,en,Lecture notes in computer science,false,closed,https://doi.org/10.1007/978-3-642-37401-2_15,book series,"Chaokun Wang,Lu Han,Zhuo Peng,Yiyuan Bai,Wenjing Ruan"
W13697715,Ordonnancement et modeles d'execution : cas des graphes specifiques,1998-01-01,fr,,false,closed,http://www.theses.fr/1998INPG0072,article,Iskander Kort
W138225374,La fouille de graphes dans les bases de données réactionnelles au service de la synthèse en chimie organique,2006-01-17,fr,,false,closed,https://dblp.uni-trier.de/db/conf/f-egc/egc2006.html#PennerathN06,article,"Amedeo Napoli,Frédéric Pennerath"
W138970988,A Unified Framework for Strengthening Topological Node Features and Its Application to Subgraph Isomorphism Detection,2013-01-01,en,Lecture notes in computer science,false,closed,https://doi.org/10.1007/978-3-642-38221-5_2,book series,"Terry Caelli,Yongsheng Gao,Nicholas Dahm,Horst Bunke"
W140605499,Biconnected graph assembly and recognition of DFS trees,1985-01-01,en,,false,closed,https://publikationen.sulb.uni-saarland.de/bitstream/20.500.11880/26493/1/fb14_1985_03_2.pdf,article,Torben Hagerup
W140618018,Scalable graph kernels,2012-01-01,,,false,closed,https://publikationen.uni-tuebingen.de/xmlui/handle/10900/49731,dissertation,Nino Shervashidze
W141046755,An algorithm for hierarchical reduction and decomposition of a directed graph,1980-03-01,en,Computing,false,closed,https://doi.org/10.1007/bf02243881,journal,Jochen Schwarze
W1416942850,Discrete particle swarm optimization for high-order graph matching,2015-08-29,en,Information Sciences,false,closed,https://doi.org/10.1016/j.ins.2015.08.038,journal,"Yue Wu,Licheng Jiao,Zhenkun Wang,A. K. Qin,Wenping Ma,Qing Cai,Maoguo Gong"
W1421083642,Benchmarking graph data management systems,2014-03-27,id,,false,closed,http://helios-eie.ekt.gr/EIE/handle/10442/13868,article,Peter Boncz
W142113103,Improved association graph matching of intra-patient airway trees,2008-12-01,en,,false,closed,https://doi.org/10.17077/etd.k1z7x1lf,dissertation,Shalmali Vidyadhar Bodas
W1431066725,Recognizing rectangle of influence drawable graphs (extended abstract),1995-01-01,en,Lecture notes in computer science,true,bronze,https://link.springer.com/content/pdf/10.1007%2F3-540-58950-3_390.pdf,book series,"Henk Meijer,Sue Whitesides,Anna Lubiw,Giuseppe Liotta,Hossam ElGindy"
W144170932,Singling out functional similarities in graph databases.,2008-01-01,en,SEBD,false,closed,https://dblp.uni-trier.de/db/conf/sebd/sebd2008.html#FiondaPPR08,journal,"Luigi Palopoli,Simona Panni,Valeria Fionda,Simona E. Rombo"
W1441810634,The graphlet system (system demonstration),1997-01-01,en,Lecture notes in computer science,true,bronze,https://link.springer.com/content/pdf/10.1007/3-540-62495-3_51.pdf,book series,Michael Himsolt
W144534391,"Wavelet transform, attributed graphs and polyhedral object recognition",1995-01-01,en,Digital Image Computing: Techniques and Applications,false,closed,https://espace.library.uq.edu.au/view/UQ:184349,conference,"Quang M. Tieng,Mohamed Deriche,Wageeh Boles"
W1445737421,Advanced weight graph transformation matching algorithm,2015-08-14,en,IET Computer Vision,true,hybrid,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1049/iet-cvi.2014.0339,journal,"Song Wang,Xin Guo,Lin Qi,Yahong Huo,Xiaomin Mu"
W1448681276,GraphX: graph processing in a distributed dataflow framework,2014-10-06,en,,false,closed,https://doi.org/10.5555/2685048.2685096,article,"Joseph E. Gonzalez,Ion Stoica,Ankur Dave,Daniel Crankshaw,Reynold Xin,Michael J. Franklin"
W1448941548,A power series graphing challenge,2010-11-01,en,The Mathematical Gazette,false,closed,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/81ED604CF62903C0AAC436899FCDE26B/S0025557200001911a.pdf/div-class-title-a-power-series-graphing-challenge-div.pdf,journal,Nick Lord
W145465538,Efficient computation of first-order markov measures on large evolving graphs,2009-01-01,en,,false,closed,https://conservancy.umn.edu/handle/11299/47905,dissertation,"Jaideep Srivastava,Prasanna Desikan"
W145712316,Towards large-scale graph stream processing platform,2014-04-07,en,,false,closed,https://doi.org/10.1145/2567948.2580051,article,"Shunsuke Nishii,Masaru Ganse,Toyotaro Suzumura"
W1458652123,Large scale graph processing systems: survey and an experimental evaluation,2015-07-22,en,Cluster Computing,false,closed,https://doi.org/10.1007/s10586-015-0472-6,journal,"Ahmed Barnawi,Omar Batarfi,Amin Beheshti,Radwa El Shawi,Ayman G. Fayoumi,Sherif Sakr,Reza Nouri"
W1459831051,A Multi–level Hypergraph Partitioning Algorithm Using Rough Set Clustering,2015-01-01,en,Lecture notes in computer science,true,bronze,https://link.springer.com/content/pdf/10.1007/978-3-662-48096-0_13.pdf,book series,"Matthew Johnson,Foad Lotfifar"
W1460034377,Efficiently Estimating Subgraph Statistics of Large Networks in the Dark.,2013-06-22,en,arXiv (Cornell University),false,closed,https://arxiv.org/pdf/1306.5288,repository,"Junzhou Zhao,Pinghui Wang,John C. S. Lui,Don Towsley,Xiaohong Guan,Bruno Ribeiro"
W1469687835,Reconfigurable computing for large-scale graph traversal algorithms,2013-03-01,en,,false,closed,http://spiral.imperial.ac.uk/bitstream/10044/1/25049/1/Betkaoui-B-2014-PhD-Thesis.pdf,dissertation,Brahim Betkaoui
W147239702,About the local detection of termination of local computations in graphs,1997-01-01,en,HAL (Le Centre pour la Communication Scientifique Directe),false,closed,https://hal.archives-ouvertes.fr/hal-00307449,repository,"Pierre‐André Wacrenier,Yves Métivier,Anca Muscholl"
W1474887568,A fast projected gradient algorithm for large graph matching,2012-07-03,en,arXiv (Cornell University),false,closed,https://arxiv.org/pdf/1207.1114,repository,"Cheng‐Lin Liu,Yao Lu,Kaizhu Huang"
W147890737,padnon : un logiciel de tracé automatique de graphes en trois dimensions,1997-01-01,fr,,false,closed,https://hal.inria.fr/inria-00073559,article,François Bertault
W1479848599,NOVA: A Novel and Efficient Framework for Finding Subgraph Isomorphism Mappings in Large Graphs,2010-01-01,en,Lecture notes in computer science,false,closed,https://doi.org/10.1007/978-3-642-12026-8_13,book series,"Xuemin Lin,Ying Zhang,Wei Wang,Gaoping Zhu,Ke Zhu"
W1480054453,A Decision Tree Approach for Design Patterns Detection by Subgraph Isomorphism,2010-01-01,en,Communications in computer and information science,false,closed,https://doi.org/10.1007/978-3-642-15766-0_95,book series,"Manjari Gupta,Akshara Pande,Anil Kumar Tripathi"
W1480187421,Fast parallel algorithms for vertex and edge colouring of Halin graphs,1986-10-01,en,,false,closed,https://wrap.warwick.ac.uk/60780/,article,"Alan Gibbons,Wojciech Rytter"
W1481957190,An optimized circuit simulation method for the isomorphism determination of regular graphs,2012-06-24,en,"International Conference on Modelling, Identification and Control",false,closed,https://ieeexplore.ieee.org/document/6260198/,conference,"Jichuan Li,Wenjie Dong,Yuan Gao,Yang Liu,Huiliang Shang"
W1482011978,Mobile context modelling using conceptual graphs,2006-10-04,en,,false,closed,https://doi.org/10.1109/wimob.2005.1512960,article,"SuTe Lei,Kang Zhang"
W1482136632,Modelling: Compartmental networks and topologies a comparison with bond graphs,2004-01-01,en,Computer-aided chemical engineering/Computer aided chemical engineering,true,green,http://www.nt.ntnu.no/users/skoge/prost/proceedings/escape14/papers/ncp012.pdf,book series,Heinz A. Preisig
W1482194866,Matching von Multiskalengraphen für den inhaltsbasierten Zugriff auf medizinische Bilder,2003-01-01,de,Informatik aktuell,false,closed,https://doi.org/10.1007/978-3-642-18993-7_72,book series,"Thomas Lehmann,Mark Oliver Güld,Christian Thies,Benedikt Fischer"
W1482283535,An approach to merging of two community subgraphs to form a community graph using graph mining techniques,2014-12-01,en,,false,closed,https://doi.org/10.1109/iccic.2014.7238392,article,"Anirban Mitra,Bapuji Rao"
W148229027,The Counting Series for Unlabeled Linear Acyclic Hypergraphs.,2006-01-01,en,Ars Combinatoria,false,closed,https://dblp.uni-trier.de/db/journals/arscom/arscom78.html#ShanL06,journal,"Zhilong Shan,Bo Liu"
W1482551403,Marked subgraph isomorphism of ordered graphs,1998-01-01,en,Lecture notes in computer science,true,bronze,https://link.springer.com/content/pdf/10.1007/BFb0033230.pdf,book series,"Horst Bunke,Xiaoyi Jiang"
W1482568066,Subgraph Matching Kernels for Attributed Graphs,2012-06-26,en,International Conference on Machine Learning,false,closed,http://icml.cc/2012/papers/542.pdf,conference,"Petra Mutzel,Nils M. Kriege"
W1482815737,0-1 graph partitioning and image segmentation,2008-01-01,en,,false,closed,https://dspace.mit.edu/handle/1721.1/45277,dissertation,Chun Fan Goh
W1483176918,Review on keyword searching techniques in uncertain graph data,2014-12-01,en,,true,bronze,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7238549,article,"Swati Manekar,Nikita B. Zambare"
W1483351415,Solving maximum clique and independent set of graphs based on hopfield network,1999-01-01,en,Lecture notes in computer science,false,closed,https://doi.org/10.1007/bfb0100703,book series,"Carlos Rodríguez,Yuanhang Zhang"
W1483429190,A new algorithm for non-rigid point matching using geodesic graph model,2015-08-01,en,2022 IEEE International Conference on Mechatronics and Automation (ICMA),false,closed,https://doi.org/10.1109/icma.2015.7237652,conference,"Deheng Qian,Hong Qiao,Tianshi Chen"
W1483684783,Pruning Strategies Based on the Upper Bound of Information Gain for Discriminative Subgraph Mining,2009-01-01,en,Lecture notes in computer science,false,closed,https://doi.org/10.1007/978-3-642-01715-5_5,book series,"Hiroshi Motoda,Masahiro Hara,Kouzou Ohara,Takashi Washio,Kiyoto Takabayashi"
W1483988593,Subgraphs Generating Algorithm for Obtaining Set of Node-Disjoint Paths in Terrain-Based Mesh Graphs,2010-01-01,en,Lecture notes in computer science,false,closed,https://doi.org/10.1007/978-3-642-16958-8_37,book series,"Stefan Wroclawski,Zbigniew Tarapata"
W1484258308,"Extended dynamic subgraph statistics using <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" altimg=""si1.gif"" display=""inline"" overflow=""scroll""><mml:mi>h</mml:mi></mml:math>-index parameterized data structures",2011-12-11,en,Theoretical Computer Science,true,bronze,https://doi.org/10.1016/j.tcs.2011.11.034,journal,"Michael T. Goodrich,Lowell Trott,Darren Strash,David Eppstein"
W1484626514,A PCA-like rule for pattern classification based on attributed graph,2005-08-24,en,,false,closed,https://doi.org/10.1109/ijcnn.1993.716779,article,"Lei Xu,Stan Klasa"
W1485478143,Towards Efficient Subgraph Search in Cloud Computing Environments,2011-01-01,en,Lecture notes in computer science,false,closed,https://doi.org/10.1007/978-3-642-20244-5_2,book series,"Jihong Guan,Shuigeng Zhou,Yifeng Luo"
W1486479905,On the Relation Between the Median and the Maximum Common Subgraph of a Set of Graphs,2007-08-20,en,Lecture notes in computer science,false,closed,https://doi.org/10.1007/978-3-540-72903-7_32,book series,"Miquel Ferrer,Francesc Serratosa,Ernest Valveny"
W1487058251,Indexing with Well-Founded Total Order for Faster Subgraph Isomorphism Detection,2011-01-01,en,Lecture notes in computer science,false,closed,https://doi.org/10.1007/978-3-642-20844-7_19,book series,"Markus Weber,Andreas Dengel,Marcus Liwicki"
W1487467265,Hardness of approximating graph transformation problem,1994-01-01,en,Lecture notes in computer science,false,closed,https://doi.org/10.1007/3-540-58325-4_168,book series,Chih-Long Lin
W1487902223,Processing Mediated Geographic Queries: a Space Partitioning Approach,2007-01-01,en,Lecture notes in geoinformation and cartography,false,closed,https://doi.org/10.1007/978-3-540-72385-1_18,book series,"Mehdi Essid,Omar Boucelma,Yassine Lassoued"
W1488211288,Efficient attributed graph matching and its application to image analysis,1995-01-01,en,Lecture notes in computer science,true,bronze,https://link.springer.com/content/pdf/10.1007/3-540-60298-4_235.pdf,book series,"B. T. Messmer,Horst Bunke"
W1488223281,A topological procedure for converting a bond graph to a linear graph,1974-01-01,en,IEEE Transactions on Automatic Control,false,closed,https://www.infona.pl/resource/bwmeta1.element.ieee-art-000004170168,journal,"H. R. Martens,J. R. Ort"
W1488773827,On central spanning trees of a graph,1996-01-01,en,Lecture notes in computer science,false,closed,https://doi.org/10.1007/3-540-61576-8_73,book series,"Firoz Kaderali,S.L. Bezrukov,Werner Poguntke"
W1489025000,Inexact Multisubgraph Matching Using Graph Eigenspace and Clustering Models,2002-01-01,en,Lecture notes in computer science,true,hybrid,https://link.springer.com/content/pdf/10.1007/3-540-70659-3_13.pdf,book series,"Serhiy Kosinov,Terry Caelli"
W1489028836,Introducing authority and hubness into graph matching,2015-08-01,en,2022 IEEE International Conference on Mechatronics and Automation (ICMA),false,closed,https://doi.org/10.1109/icma.2015.7237619,conference,"Hong Qiao,Lijin Xu,Wei You,Xu Yang,Yu-Ren Zhang"
W1489169316,Solving nearest neighbors problem on GPU to speed up the Fruchterman-Reingold graph layout algorithm,2015-06-01,en,,false,closed,https://doi.org/10.1109/cybconf.2015.7175951,article,"Tomáš Ježowicz,Petr Gajdoš,Vojtěch Uher"
W1490862018,Contemporary methods in graph theory,1990-01-01,en,,false,closed,http://ci.nii.ac.jp/ncid/BA11845769,book,R. Bodendiek
W1491282433,Processing of hierarchically defined graphs and graph families,1992-01-01,en,Lecture notes in computer science,false,closed,https://doi.org/10.1007/3-540-55488-2_21,book series,"Franz Höfting,Thomas Lengauer,Egon Wanke"
W1491622097,On graph coloring check-digit method,2002-01-01,en,arXiv (Cornell University),true,green,https://arxiv.org/abs/math/0211317,repository,"Kamil Kulesza,Zbigniew Kotulski"
W1491777200,Representation and training of vector graphics with NRAAM networks,2004-03-02,en,Proceedings of ... International Joint Conference on Neural Networks,false,closed,https://doi.org/10.1109/ijcnn.2003.1223392,conference,"Martin Schæfer,Werner Dilger"
W1492164134,Handbook of basic graphs : a modern approach,1970-01-01,en,Dickenson eBooks,false,closed,http://ci.nii.ac.jp/ncid/BA49026807,ebook platform,Cecil H. Meyers
W1492293840,Layout graph grammars: The placement approach,2005-11-22,en,Springer eBooks,false,closed,https://doi.org/10.1007/bfb0017387,ebook platform,Franz J. Brandenburg
